rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
16,16,0.0001,1.0,10000.0,wl_full_nonideal_hi,partial,1.0465604611362174e-05,1.0469031418560825e-05,0.009347349480857881,0.009344282280661788,dense,0.0339555999962613
16,16,0.0001,1.0,10000.0,wl_buffer_full,full,1.0359100240661407e-05,1.0359100240661407e-05,0.009249196643447685,0.009249196643447685,dense,0.059182099997997284
16,16,0.0001,1.0,10000.0,bl_star,full,1.042333852119491e-05,1.4235161555608113e-05,0.012709965674650102,0.008512263747107325,dense,0.009970499988412485
16,16,0.0001,1.0,10000.0,combined_full,full,9.509540930153094e-07,9.509540930153094e-07,0.0008490661544779548,0.0008490661544779548,dense,0.018945400006487034
16,16,0.0003,2.9999999999999996,10000.0,baseline,none,5.565231972484609e-05,6.750089435057674e-05,0.06026865567015781,0.04856812690792775,dense,0.00917049999407027
16,16,0.0003,2.9999999999999996,10000.0,wl_partial_2,partial,3.058097910869512e-05,3.073953740689861e-05,0.027446015541873762,0.027304076704385196,dense,0.01216700000804849
16,16,0.0003,2.9999999999999996,10000.0,wl_partial_4,partial,3.1541491092142275e-05,3.232693539148069e-05,0.028863335170964906,0.028154551236263918,dense,0.01054160000057891
16,16,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_lo,partial,3.0483212152378316e-05,3.0485198788164983e-05,0.027218927489433022,0.02721715283963219,dense,0.031263400000170805
16,16,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_hi,partial,3.0729648979382776e-05,3.073956060415696e-05,0.027446036253711573,0.027437165076557704,dense,0.08421440000529401
16,16,0.0003,2.9999999999999996,10000.0,wl_buffer_full,full,3.042159441092422e-05,3.042159441092422e-05,0.02716213786689663,0.02716213786689663,dense,0.018887099999119528
16,16,0.0003,2.9999999999999996,10000.0,bl_star,full,3.062944953324398e-05,4.1793769056112885e-05,0.037315865228672224,0.02502657380266664,dense,0.008570799996959977
16,16,0.0003,2.9999999999999996,10000.0,combined_full,full,2.846610019745146e-06,2.846610019745146e-06,0.0025416160890581662,0.0025416160890581662,dense,0.02739109999674838
16,16,0.0005,5.0,10000.0,baseline,none,8.951107432994087e-05,0.00010824138783369639,0.09664409628008606,0.0781818633690102,dense,0.010487599996849895
16,16,0.0005,5.0,10000.0,wl_partial_2,partial,4.991184237436814e-05,5.016687822099043e-05,0.044791855554455744,0.04456356021210528,dense,0.01463520000106655
16,16,0.0005,5.0,10000.0,wl_partial_4,partial,5.145520706100151e-05,5.271768750052968e-05,0.04706936383975865,0.04593028300860509,dense,0.01009630000044126
16,16,0.0005,5.0,10000.0,wl_full_nonideal_lo,partial,4.975461871831963e-05,4.9757814534613035e-05,0.04442662012019021,0.04442376533686852,dense,0.031993700002203695
16,16,0.0005,5.0,10000.0,wl_full_nonideal_hi,partial,5.01509968432575e-05,5.016693932434501e-05,0.044791910111022334,0.04477764165294068,dense,0.04837930000212509
16,16,0.0005,5.0,10000.0,wl_buffer_full,full,4.965549665412517e-05,4.965549665412517e-05,0.04433526486975462,0.04433526486975462,dense,0.01848650000465568
16,16,0.0005,5.0,10000.0,bl_star,full,5.0024634548062106e-05,6.819860038679865e-05,0.06089160748821309,0.04089477499626691,dense,0.008957600002759136
